4,0,0,1,1,0,0,5,2,0,0,0,1,0,0,0,1,7,25,0,0
28,0,1,2,1,0,0,2,2,0,0,0,1,0,0,0,1,4,12,0,0
3118,57,90,0,1,0,0,36,6,1,0,0,1,0,0,1,0,42,155,0,1
3680,52,13,0,1,0,0,6,1,0,0,0,1,0,0,1,0,7,25,0,0
4072,0,7,0,1,0,1,19,12,0,0,0,1,0,0,0,1,31,141,0,0
1962,0,16,0,1,0,0,13,4,0,0,0,1,0,0,0,1,17,70,0,0
1962,0,16,0,1,0,0,13,4,0,0,0,1,0,0,0,1,17,70,0,0
1962,0,16,0,1,0,0,13,4,0,0,0,1,0,0,0,1,17,70,0,0
3,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
102440,0,116,3,1,0,1,5,2,0,0,0,1,0,0,0,1,7,26,0,0
2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,7,0,1,0,0,14,7,4,0,0,1,1,1,0,1,21,93,0,2
0,0,0,0,0,0,0,6,8,1,0,0,1,0,0,0,1,14,47,0,0
1,0,1,0,1,0,0,11,7,0,0,0,1,0,1,0,1,18,61,0,0
3,0,1,0,0,0,0,3,4,0,0,0,1,0,1,0,1,7,43,0,0
0,0,1,1,1,0,0,7,2,0,0,0,1,0,0,0,1,9,27,0,0
